"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.liquidToSolid","dmdt.solidToLiquid","p","p_rgh","rho"
1e-05,0,0.0001,293.18,0,0,0,0,0,1,0,0,0,0,4680
0,0,0.0001,293.16,0,0,0,0,0,1,0,0,0,0,4680
1e-05,3.8333e-06,0.0001,293.29,0,0,0,0,0,1,0,0,0,0,4680
0,3.8333e-06,0.0001,293.18,0,0,0,0,0,1,0,0,0,0,4680
2e-05,0,0.0001,293.22,0,0,0,0,0,1,0,0,0,0,4680
2e-05,3.8333e-06,0.0001,293.42,0,0,0,0,0,1,0,0,0,0,4680
3e-05,0,0.0001,293.25,0,0,0,0,0,1,0,0,0,0,4680
3e-05,3.8333e-06,0.0001,293.57,0,0,0,0,0,1,0,0,0,0,4680
4e-05,0,0.0001,293.29,0,0,0,0,0,1,0,0,0,0,4680
4e-05,3.8333e-06,0.0001,293.72,0,0,0,0,0,1,0,0,0,0,4680
5e-05,0,0.0001,293.33,0,0,0,0,0,1,0,0,0,0,4680
5e-05,3.8333e-06,0.0001,293.89,0,0,0,0,0,1,0,0,0,0,4680
6e-05,0,0.0001,293.38,0,0,0,0,0,1,0,0,0,0,4680
6e-05,3.8333e-06,0.0001,294.06,0,0,0,0,0,1,0,0,0,0,4680
7e-05,0,0.0001,293.43,0,0,0,0,0,1,0,0,0,0,4680
7e-05,3.8333e-06,0.0001,294.26,0,0,0,0,0,1,0,0,0,0,4680
8e-05,0,0.0001,293.48,0,0,0,0,0,1,0,0,0,0,4680
8e-05,3.8333e-06,0.0001,294.48,0,0,0,0,0,1,0,0,0,0,4680
9e-05,0,0.0001,293.54,0,0,0,0,0,1,0,0,0,0,4680
9e-05,3.8333e-06,0.0001,294.72,0,0,0,0,0,1,0,0,0,0,4680
0.0001,0,0.0001,293.61,0,0,0,0,0,1,0,0,0,0,4680
0.0001,3.8333e-06,0.0001,294.98,0,0,0,0,0,1,0,0,0,0,4680
0.00011,0,0.0001,293.68,0,0,0,0,0,1,0,0,0,0,4680
0.00011,3.8333e-06,0.0001,295.28,0,0,0,0,0,1,0,0,0,0,4680
0.00012,0,0.0001,293.76,0,0,0,0,0,1,0,0,0,0,4680
0.00012,3.8333e-06,0.0001,295.61,0,0,0,0,0,1,0,0,0,0,4680
0.00013,0,0.0001,293.86,0,0,0,0,0,1,0,0,0,0,4680
0.00013,3.8333e-06,0.0001,295.97,0,0,0,0,0,1,0,0,0,0,4680
0.00014,0,0.0001,293.96,0,0,0,0,0,1,0,0,0,0,4680
0.00014,3.8333e-06,0.0001,296.38,0,0,0,0,0,1,0,0,0,0,4680
0.00015,0,0.0001,294.07,0,0,0,0,0,1,0,0,0,0,4680
0.00015,3.8333e-06,0.0001,296.83,0,0,0,0,0,1,0,0,0,0,4680
0.00016,0,0.0001,294.2,0,0,0,0,0,1,0,0,0,0,4680
0.00016,3.8333e-06,0.0001,297.32,0,0,0,0,0,1,0,0,0,0,4680
0.00017,0,0.0001,294.33,0,0,0,0,0,1,0,0,0,0,4680
0.00017,3.8333e-06,0.0001,297.87,0,0,0,0,0,1,0,0,0,0,4680
0.00018,0,0.0001,294.48,0,0,0,0,0,1,0,0,0,0,4680
0.00018,3.8333e-06,0.0001,298.47,0,0,0,0,0,1,0,0,0,0,4680
0.00019,0,0.0001,294.65,0,0,0,0,0,1,0,0,0,0,4680
0.00019,3.8333e-06,0.0001,299.13,0,0,0,0,0,1,0,0,0,0,4680
0.0002,0,0.0001,294.83,0,0,0,0,0,1,0,0,0,0,4680
0.0002,3.8333e-06,0.0001,299.86,0,0,0,0,0,1,0,0,0,0,4680
0.00021,0,0.0001,295.03,0,0,0,0,0,1,0,0,0,0,4680
0.00021,3.8333e-06,0.0001,300.65,0,0,0,0,0,1,0,0,0,0,4680
0.00022,0,0.0001,295.25,0,0,0,0,0,1,0,0,0,0,4680
0.00022,3.8333e-06,0.0001,301.51,0,0,0,0,0,1,0,0,0,0,4680
0.00023,0,0.0001,295.49,0,0,0,0,0,1,0,0,0,0,4680
0.00023,3.8333e-06,0.0001,302.45,0,0,0,0,0,1,0,0,0,0,4680
0.00024,0,0.0001,295.74,0,0,0,0,0,1,0,0,0,0,4680
0.00024,3.8333e-06,0.0001,303.48,0,0,0,0,0,1,0,0,0,0,4680
0.00025,0,0.0001,296.02,0,0,0,0,0,1,0,0,0,0,4680
0.00025,3.8333e-06,0.0001,304.58,0,0,0,0,0,1,0,0,0,0,4680
0.00026,0,0.0001,296.32,0,0,0,0,0,1,0,0,0,0,4680
0.00026,3.8333e-06,0.0001,305.78,0,0,0,0,0,1,0,0,0,0,4680
0.00027,0,0.0001,296.65,0,0,0,0,0,1,0,0,0,0,4680
0.00027,3.8333e-06,0.0001,307.08,0,0,0,0,0,1,0,0,0,0,4680
0.00028,0,0.0001,297,0,0,0,0,0,1,0,0,0,0,4680
0.00028,3.8333e-06,0.0001,308.47,0,0,0,0,0,1,0,0,0,0,4680
0.00029,0,0.0001,297.38,0,0,0,0,0,1,0,0,0,0,4680
0.00029,3.8333e-06,0.0001,309.97,0,0,0,0,0,1,0,0,0,0,4680
0.0003,0,0.0001,297.79,0,0,0,0,0,1,0,0,0,0,4680
0.0003,3.8333e-06,0.0001,311.57,0,0,0,0,0,1,0,0,0,0,4680
0.00031,0,0.0001,298.22,0,0,0,0,0,1,0,0,0,0,4680
0.00031,3.8333e-06,0.0001,313.29,0,0,0,0,0,1,0,0,0,0,4680
0.00032,0,0.0001,298.69,0,0,0,0,0,1,0,0,0,0,4680
0.00032,3.8333e-06,0.0001,315.13,0,0,0,0,0,1,0,0,0,0,4680
0.00033,0,0.0001,299.19,0,0,0,0,0,1,0,0,0,0,4680
0.00033,3.8333e-06,0.0001,317.09,0,0,0,0,0,1,0,0,0,0,4680
0.00034,0,0.0001,299.72,0,0,0,0,0,1,0,0,0,0,4680
0.00034,3.8333e-06,0.0001,319.17,0,0,0,0,0,1,0,0,0,0,4680
0.00035,0,0.0001,300.29,0,0,0,0,0,1,0,0,0,0,4680
